
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
0,19,2,7,3756,6046,
1,13,2,19,3670,5991,
0,12,17,21,3643,5892,
4,7,0,0,3627,5962,
1,7,12,17,3634,6058,
1,1,4,2,3744,6019,
0,36,10,15,3670,5960,
0,21,19,59,3707,5945,
1,7,5,16,3679,5941,
0,12,2,28,3652,6004,
2,2,16,9,3666,5894,
0,1,4,2,3652,6054,
0,29,3,4,3765,5875,
1,15,1,5,3660,6074,
1,2,3,19,3740,5864,
0,7,9,9,3687,5904,
4,0,6,2,3665,5950,
1,13,10,32,3651,6101,
1,2,1,10,3691,5899,
4,5,0,8,3663,5846,
2,11,9,6,3774,6048,
1,0,41,41,3589,5849,
0,0,35,17,3655,6062,
0,10,7,15,3723,5941,
1,2,3,51,3657,5882,
1,3,35,14,3745,5953,
3,19,1,1,3617,6086,
5,17,4,26,3718,5942,
2,10,22,73,3613,6162,
1,2,1,9,3832,5815,

1,4,2,31,4386,6913,
4,22,2,5,4228,6751,
2,6,15,24,4249,6929,
4,7,7,18,4319,6784,
4,13,13,24,4368,6914,
0,4,7,3,4291,6924,
1,12,0,22,4271,7030,
1,13,43,44,4299,6932,
0,15,21,34,4193,6880,
0,10,3,68,4312,6873,
0,15,7,46,4339,6975,
0,20,55,37,4414,6919,
0,18,1,34,4156,6904,
0,2,39,65,4284,6846,
2,5,6,42,4360,7105,
0,17,5,20,4298,6950,
2,0,2,91,4241,7032,
2,2,0,11,4305,6855,
1,2,7,9,4304,6760,
1,10,9,8,4270,7078,
0,2,16,78,4250,6878,
4,1,4,9,4230,6767,
2,11,1,14,4368,6870,
1,6,0,0,4250,7071,
0,4,7,28,4274,6890,
5,0,9,57,4276,6901,
0,7,11,12,4363,6818,
0,12,5,36,4428,7002,
0,9,30,2,4338,6933,
0,0,25,10,4281,6902,
0,8,7,39,4199,6832,
2,4,8,1,4356,6978,
1,8,7,33,4307,7007,
3,10,5,2,4305,6934,
0,14,12,10,4410,7036,
0,3,18,55,4316,7029,
1,8,0,1,4318,6976,
0,2,16,4,4251,6879,
4,7,24,63,4306,6960,
0,7,2,23,4339,6843,
1,9,10,0,4366,6892,
0,0,4,2,4203,7115,
1,22,5,31,4465,6761,
3,17,6,46,4299,6985,
2,5,4,11,4365,6963,
2,5,3,48,4378,6803,
2,6,2,42,4137,6975,
0,0,12,10,4299,6829,
2,2,13,8,4364,6885,
0,27,2,0,4202,7012,
3,0,10,15,4374,6883,
0,9,40,11,4228,6958,
3,12,27,20,4269,6886,
1,7,21,15,4311,6998,
1,0,47,23,4280,6986,
0,4,0,47,4220,6944,
1,0,3,37,4346,7024,
0,0,7,28,4297,6937,
0,1,10,1,4195,6951,
0,0,0,29,4222,7056,
1,16,0,1,4420,6937,
2,17,17,7,4353,6866,
0,19,10,15,4317,6949,
0,21,3,10,4425,6944,
0,20,4,19,4151,6828,
3,1,10,23,4396,6882,
2,5,6,19,4344,6909,
4,5,10,21,4381,6858,
0,2,8,7,4337,6970,
2,6,21,6,4391,6960,
1,8,2,7,4352,7020,
1,14,10,45,4223,6977,
